Food code,Main food description,WWEIA Category number,WWEIA Category description,Seq num,Portion description,Portion weight (g)
31105040,"Egg, whole, fried with butter",2502,Eggs and omelets,2,1 cup,135.0
31105060,"Egg, whole, fried with animal fat or meat drippings",2502,Eggs and omelets,1,1 egg,55.0
31105060,"Egg, whole, fried with animal fat or meat drippings",2502,Eggs and omelets,2,1 cup,135.0
31105080,"Egg, whole, fried with cooking spray",2502,Eggs and omelets,1,1 egg,50.0
31105080,"Egg, whole, fried with cooking spray",2502,Eggs and omelets,2,1 cup,135.0
31105085,"Egg, whole, fried, NS as to fat type",2502,Eggs and omelets,1,1 egg,55.0
31105085,"Egg, whole, fried, NS as to fat type",2502,Eggs and omelets,2,1 cup,135.0
31105090,"Egg, whole, fried, from fast food / restaurant",2502,Eggs and omelets,1,1 egg,55.0
31105090,"Egg, whole, fried, from fast food / restaurant",2502,Eggs and omelets,2,1 cup,135.0
31106000,"Egg, whole, baked, NS as to fat",2502,Eggs and omelets,1,1 egg,55.0
31106000,"Egg, whole, baked, NS as to fat",2502,Eggs and omelets,2,1 cup,135.0
31106010,"Egg, whole, baked, no added fat",2502,Eggs and omelets,1,1 egg,50.0
31106010,"Egg, whole, baked, no added fat",2502,Eggs and omelets,2,1 cup,135.0
31106020,"Egg, whole, baked, fat added",2502,Eggs and omelets,1,1 egg,55.0
31106020,"Egg, whole, baked, fat added",2502,Eggs and omelets,2,1 cup,135.0
31107000,"Egg, whole, pickled",2502,Eggs and omelets,1,1 egg,50.0
31108010,"Egg, white only, raw",2502,Eggs and omelets,1,1 egg white,33.0
31108010,"Egg, white only, raw",2502,Eggs and omelets,2,1 cup,245.0
31108100,"Egg, white, cooked, NS as to fat",2502,Eggs and omelets,1,1 egg white,36.0
31108100,"Egg, white, cooked, NS as to fat",2502,Eggs and omelets,2,1 cup,135.0
31108110,"Egg, white, cooked, no added fat",2502,Eggs and omelets,1,1 egg white,33.0
31108110,"Egg, white, cooked, no added fat",2502,Eggs and omelets,2,1 cup,135.0
31108120,"Egg, white, cooked, fat added",2502,Eggs and omelets,1,1 egg white,36.0
31108120,"Egg, white, cooked, fat added",2502,Eggs and omelets,2,1 cup,135.0
31110010,"Egg, yolk only, raw",2502,Eggs and omelets,1,1 egg,17.0
31110010,"Egg, yolk only, raw",2502,Eggs and omelets,2,1 cup,245.0
31111000,"Egg, yolk only, cooked, NS as to fat",2502,Eggs and omelets,1,1 egg,20.0
31111000,"Egg, yolk only, cooked, NS as to fat",2502,Eggs and omelets,2,1 cup,135.0
31111010,"Egg, yolk only, cooked, no added fat",2502,Eggs and omelets,1,1 egg,17.0
31111010,"Egg, yolk only, cooked, no added fat",2502,Eggs and omelets,2,1 cup,135.0
31111020,"Egg, yolk only, cooked, fat added",2502,Eggs and omelets,1,1 egg,20.0
31111020,"Egg, yolk only, cooked, fat added",2502,Eggs and omelets,2,1 cup,135.0
31201000,"Duck egg, cooked",2502,Eggs and omelets,1,1 egg,70.0
31201000,"Duck egg, cooked",2502,Eggs and omelets,2,1 cup,135.0
31202000,"Goose egg, cooked",2502,Eggs and omelets,1,1 egg,144.0
31203000,"Quail egg, canned",2502,Eggs and omelets,1,1 egg,9.0
32101000,"Egg, creamed",2502,Eggs and omelets,1,1 egg,145.0
32101000,"Egg, creamed",2502,Eggs and omelets,2,1 cup,135.0
32101500,"Egg, Benedict",2502,Eggs and omelets,1,1 egg,155.0
32102000,"Egg, deviled",2502,Eggs and omelets,1,1 egg,30.0
32103000,"Egg salad, made with mayonnaise",2502,Eggs and omelets,1,1 medium egg,68.0
32103000,"Egg salad, made with mayonnaise",2502,Eggs and omelets,2,1 large egg,74.0
32103000,"Egg salad, made with mayonnaise",2502,Eggs and omelets,3,1 extra large egg,82.0
32103000,"Egg salad, made with mayonnaise",2502,Eggs and omelets,4,"1 egg, NS as to size",74.0
32103000,"Egg salad, made with mayonnaise",2502,Eggs and omelets,5,1 cup,222.0
32103015,"Egg salad, made with light mayonnaise",2502,Eggs and omelets,1,1 medium egg,68.0
32103015,"Egg salad, made with light mayonnaise",2502,Eggs and omelets,2,1 large egg,74.0
32103015,"Egg salad, made with light mayonnaise",2502,Eggs and omelets,3,1 extra large egg,82.0
32103015,"Egg salad, made with light mayonnaise",2502,Eggs and omelets,4,"1 egg, NS as to size",74.0
32103015,"Egg salad, made with light mayonnaise",2502,Eggs and omelets,5,1 cup,222.0
32103020,"Egg salad, made with mayonnaise-type salad dressing",2502,Eggs and omelets,1,1 medium egg,68.0
