Food code,Food group,Food code description,Energy (kcal)*,Water (g),Protein (g),Tryptophan (g),Threonine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Cystine (g),Phenylalanine (g),Tyrosine (g),Valine (g),Arginine (g),Histidine (g),Alanine (g),Aspartic acid (g),Glutamic acid (g),Glycine (g),Proline (g),Serine (g),Hydroxyproline (g),Total lipid (Fat) (g),"Fatty acids, total saturated (g)",4:0 (g),6:0 (g),8:0 (g),10:0 (g),12:0 (g),13:0 (g),14:0 (g),15:0 (g),16:0 (g),17:0 (g),18:0 (g),20:0 (g),22:0 (g),24:0 (g),"Fatty acids, total monounsaturated (g)",14:1 (g),15:1 (g),16:1 undifferentiated (g),16:1 c (g),16:1 t (g),17:1 (g),18:1 undifferentiated (g),18:1 c (g),18:1 t (g),18:1-11 t (18:1t n-7) (g),20:1 (g),22:1 undifferentiated (g),22:1 c (g),22:1 t (g),24:1 c (g),"Fatty acids, total polyunsaturated (g)",18:2 undifferentiated (g),"C 18:2, cis, n-6 (Linoleic Acid) (g)",18:2 CLAs (g),"18:2 t,t (g)",18:2 i (g),18:2 t not further defined (g),18:3 undifferentiated (g),"C 18:3, cis, n-3 (Alpha-Linolenic Acid) (g)","18:3 n-6 c,c,c (g)",18:3i (g),18:4 (g),"20:2 n-6 c,c (g)",20:3 undifferentiated (g),20:3 n-3 (g),20:3 n-6 (g),20:4 undifferentiated (g),20:4 n-6 (g),20:5 n-3 (EPA) (g),21:5 (g),22:4 (g),22:5 n-3 (DPA) (g),22:6 n-3 (DHA) (g),"Fatty acids, total trans (g)","Fatty acids, total trans-monoenoic (g)","Fatty acids, total trans-polyenoic (g)",Cholesterol (mg),Phytosterols (mg),Stigmasterol (mg),Campesterol (mg),Beta-sitosterol (mg),Carbohydrate (g),"Fibre, total dietary (g)","Sugars, total (g)","Sugars, added (g)",Sucrose (g),Glucose (Dextrose) (g),Fructose (g),Lactose (g),Maltose (g),Galactose (g),Starch (g),Ash (g),Ca (mg),Fe (mg),Mg (mg),P (mg),K (mg),Na (mg),Zn (mg),Cu (mg),Mn (mg),Se (mcg),F (mcg),Phytic acid (mg),Vit A (mg),Vit A-RAE (mcg),Vit A-RE (mcg),Lycopene (mcg),Lutein + zeaxanthin (mcg),Retinol (mcg),Beta-carotene equivalents (mcg),"Carotene, alpha (mcg)","Cryptoxanthin, beta (mcg)",Vit D (D2 +D3) (mcg),Vit D2 (ergocalciferol) (mcg),Vit D3 (cholecalciferol) (mcg),Vit E (mg),"Vit E, added (mg)","Tocopherol, alpha (mg)","Tocopherol, beta (mg)","Tocopherol, gamma (mg)","Tocopherol, delta (mg)","Tocotrienol, alpha (mg)","Tocotrienol, beta (mg)","Tocotrienol, gamma (mg)","Tocotrienol, delta (mg)",Thiamin (mg),Riboflavin (mg),Niacin (mg),Niacin equivalents (mg),Pantothenic acid (mg),Vit B6 (mg),"Folate, total (mcg)",Folic acid (mcg),"Folate, food (mcg)","Folate, DFE (mcg)","Choline, total (mg)",Betaine (mg),Vit B12 (mcg),"Vit B12, added (mcg)",Vit C (mg),Vit K (phylloquinone) (mcg),Dihydrophylloquinone (mcg),Menaquinone-4 (mcg),"Alcohol, ethyl (g)",Caffeine (mg),Theobromine (mg)
2007,"Starchy roots, bananas and tubers","Cassava, root, white, peeled, raw",173,53.8,1.3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,39.1,4.6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,33,0.9,13,21,250,2,0.34,n/a,n/a,1,n/a,n/a,n/a,1,1,n/a,n/a,0,8,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.23,0.01,0.4,n/a,n/a,n/a,n/a,n/a,27,27,n/a,n/a,0,n/a,38,n/a,n/a,n/a,n/a,n/a,n/a
2008,"Starchy roots, bananas and tubers","Cassava, root, yellow, peeled, raw",126,65.7,1.6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,27,4.7,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.8,18,0.6,9,27,290,2,0.34,n/a,n/a,1,n/a,n/a,n/a,61,122,n/a,n/a,0,730,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.09,0.03,0.8,n/a,n/a,n/a,n/a,n/a,27,27,n/a,n/a,0,n/a,41,n/a,n/a,n/a,n/a,n/a,n/a
2009,"Starchy roots, bananas and tubers","Potato, Irish (English), white variety, peeled, raw",105,72.1,2.4,0.0377,0.0874,0.098,0.2,0.19,0.0392,0.0301,0.107,0.125,0.1356,0.16,0.0528,0.0739,0.5893,0.4039,0.0723,0.115,0.1055,n/a,0.1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,22.7,1.68,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,9,1.4,19,81,645,6.46,0.32,n/a,n/a,1,n/a,n/a,n/a,0,0,n/a,n/a,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.07,0.04,1.2,n/a,n/a,n/a,n/a,n/a,53,53,n/a,n/a,0,n/a,6.6,n/a,n/a,n/a,n/a,n/a,n/a
2010,"Starchy roots, bananas and tubers","Radish, round, red skin, raw",15,94.5,0.8,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.16,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.6,2.3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.7,36,0.4,22,22,103,32.27,0.18,n/a,n/a,0,n/a,n/a,n/a,0,0,n/a,n/a,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.02,0.03,0.3,n/a,n/a,n/a,n/a,n/a,25,25,n/a,n/a,0,n/a,21,n/a,n/a,n/a,n/a,n/a,n/a
2011,"Starchy roots, bananas and tubers","Radish, long, red skin, raw",14,94.7,0.6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.3,2.5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.8,28,0.37,13,27,193,25,0.16,n/a,n/a,0,n/a,n/a,n/a,0,0,n/a,n/a,0,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.06,0.02,0.3,n/a,n/a,n/a,n/a,n/a,26,26,n/a,n/a,0,n/a,17,n/a,n/a,n/a,n/a,n/a,n/a
2012,"Starchy roots, bananas and tubers","Radish, white skin, raw",22,93,1.1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.7,2.1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.7,40,0.4,14,20,249,26,0.34,n/a,n/a,0,n/a,n/a,n/a,1.25,3,n/a,n/a,0,15,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.03,0.02,0.5,n/a,n/a,n/a,n/a,n/a,28,28,n/a,n/a,0,n/a,15,n/a,n/a,n/a,n/a,n/a,n/a
2013,"Starchy roots, bananas and tubers","Sweet potato, brown skin, peeled, raw",101,72,1.7,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,20.8,4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.2,22,0.4,12,25,389,20,0.28,n/a,n/a,0,n/a,n/a,n/a,8,17,n/a,n/a,0,100,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.07,0.03,0.8,n/a,n/a,n/a,n/a,n/a,16,16,n/a,n/a,0,n/a,18,n/a,n/a,n/a,n/a,n/a,n/a
2014,"Starchy roots, bananas and tubers","Sweetpotato, orange, biofortified, raw",76.9,78.7,1.9,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,15.6,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.7,27,0.5,14,33,250,10,0.5,n/a,n/a,1,n/a,n/a,n/a,517,1030,n/a,n/a,0,6200,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.03,0.05,1,n/a,n/a,n/a,n/a,n/a,11,11,n/a,n/a,0,n/a,31,n/a,n/a,n/a,n/a,n/a,n/a
2015,"Starchy roots, bananas and tubers","Sweet potato, pink skin",83,76.8,1.8,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,15.6,3.9,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.3,14,1,19,61,247,11,0.14,n/a,n/a,0,n/a,n/a,n/a,1,2,n/a,n/a,0,11,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.07,0.03,0.7,n/a,n/a,n/a,n/a,n/a,14,14,n/a,n/a,0,n/a,22,n/a,n/a,n/a,n/a,n/a,n/a
2016,"Starchy roots, bananas and tubers","Taro, peeled, raw",97,73,1.8,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,20.3,3.5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.2,51,0.7,20,88,300,10,0.6,n/a,n/a,1,n/a,n/a,n/a,3,5,n/a,n/a,0,30,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.1,0.03,0.7,n/a,n/a,n/a,n/a,n/a,22,22,n/a,n/a,0,n/a,12,n/a,n/a,n/a,n/a,n/a,n/a
2017,"Starchy roots, bananas and tubers","Turnip, root, raw",22,93.1,0.7,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.6,1.7,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.8,34,0.5,11,39,320,29,0.2,n/a,n/a,1,n/a,n/a,n/a,0,0,n/a,n/a,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.04,0.04,0.7,n/a,n/a,n/a,n/a,n/a,15,15,n/a,n/a,0,n/a,23,n/a,n/a,n/a,n/a,n/a,n/a
2018,"Starchy roots, bananas and tubers","Yam, flour",312,14,3.4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,67.4,12.8,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,20,1.1,50,110,818,28,1,n/a,n/a,2,n/a,n/a,n/a,0,0,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,43,43,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019,"Starchy roots, bananas and tubers","Yam, white, raw",112,69,1.9,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,23.7,4.1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.1,16,0.8,18,61,295,10,0.27,n/a,n/a,1,n/a,n/a,n/a,0,0,n/a,n/a,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.11,0.02,0.4,n/a,n/a,n/a,n/a,n/a,16,16,n/a,n/a,0,n/a,6,n/a,n/a,n/a,n/a,n/a,n/a
2020,"Starchy roots, bananas and tubers","Arrowroot, peeled, boiled, drained (without salt)",109,70.9,3.2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,22.3,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.3,6,1,23,40,548,28,0.86,n/a,n/a,1,n/a,n/a,n/a,1,3,n/a,n/a,0,16,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.17,0.08,1.9,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a
2021,"Starchy roots, bananas and tubers","Beet root, peeled, boiled, drained (without salt)",44,86,2.2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,7,3.3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.4,12,62.9,7,32,135,33,0.42,n/a,n/a,0,n/a,n/a,n/a,1,1,n/a,n/a,0,7,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.01,0.01,0.2,n/a,n/a,n/a,n/a,n/a,56,56,n/a,n/a,0,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a
2022,"Starchy roots, bananas and tubers","Beet root, peeled, stewed (without salt)",41,86.9,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.5,3.1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.3,12,0.8,11,34,281,56,0.52,n/a,n/a,0,n/a,n/a,n/a,1,1,n/a,n/a,0,6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.01,0.01,0.3,n/a,n/a,n/a,n/a,n/a,73,73,n/a,n/a,0,n/a,4,n/a,n/a,n/a,n/a,n/a,n/a
2023,"Starchy roots, bananas and tubers","Cassava, root, white, peeled, boiled, drained (without salt)",148,60.5,1.1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,33.4,3.9,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.8,27,0.7,10,17,171,1,0.26,n/a,n/a,1,n/a,n/a,n/a,1,1,n/a,n/a,0,6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.15,0.01,0.3,n/a,n/a,n/a,n/a,n/a,15,15,n/a,n/a,0,n/a,23,n/a,n/a,n/a,n/a,n/a,n/a
2024,"Starchy roots, bananas and tubers","Cassava, root, yellow, peeled, boiled, drained (without salt)",107,70.7,1.4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,23.1,4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.7,15,0.5,7,21,198,1,0.26,n/a,n/a,1,n/a,n/a,n/a,49,99,n/a,n/a,0,593,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.06,0.02,0.5,n/a,n/a,n/a,n/a,n/a,15,15,n/a,n/a,0,n/a,25,n/a,n/a,n/a,n/a,n/a,n/a
2025,"Starchy roots, bananas and tubers","Potato, Irish (English), white variety, peeled, boiled, drained (without salt)",105,72.1,2.4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,22.7,1.7,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,8,1.3,17,76,516,5,0.29,n/a,n/a,0,n/a,n/a,n/a,0,0,n/a,n/a,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.05,0.03,0.9,n/a,n/a,n/a,n/a,n/a,34,34,n/a,n/a,0,n/a,5,n/a,n/a,n/a,n/a,n/a,n/a
2026,"Starchy roots, bananas and tubers","Potato, Irish (English), white variety, peeled, steamed (without salt)",107,71.5,2.5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,23.2,1.7,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,8,1.3,18,79,559,6,0.31,n/a,n/a,0,n/a,n/a,n/a,0,0,n/a,n/a,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.06,0.04,1.1,n/a,n/a,n/a,n/a,n/a,33,33,n/a,n/a,0,n/a,5,n/a,n/a,n/a,n/a,n/a,n/a
